Date,SPY,INTL,IEF
2008-04-15,95.87991333007812,32.897552490234375,59.16630172729492
2008-04-16,98.47766876220703,33.82746887207031,58.76663589477539
2008-04-17,98.6216049194336,33.78925704956055,58.629085540771484
2008-04-18,99.6506118774414,34.082252502441406,58.570152282714844
2008-04-21,99.70097351074219,34.36249923706055,58.57666778564453
2008-04-22,99.26200866699219,33.99307632446289,58.62253952026367
2008-04-23,99.10372161865234,34.177791595458984,58.5635871887207
2008-04-24,99.53549194335938,34.184165954589844,58.10499954223633
2008-04-25,100.45655059814453,34.10771942138672,58.0263786315918
2008-04-28,100.47811126708984,34.75102233886719,58.13117599487305
2008-04-29,100.08235168457031,34.145938873291016,58.23603057861328
2008-04-30,99.49227905273438,34.674598693847656,58.41943359375
2008-05-01,101.5503921508789,34.29244613647461,58.41291046142578
2008-05-02,101.83096313476562,34.49626159667969,57.93968200683594
2008-05-05,101.3416519165039,34.77650833129883,58.02510070800781
2008-05-06,102.2196044921875,35.04401397705078,57.841102600097656
2008-05-07,100.39900970458984,34.48988723754883,58.071102142333984
2008-05-08,100.13992309570312,34.57269287109375,58.44578552246094
2008-05-09,99.95282745361328,34.54721450805664,58.511470794677734
2008-05-12,101.0754165649414,34.9102668762207,58.41291046142578
2008-05-13,101.08982849121094,34.840206146240234,57.92655944824219
2008-05-14,101.29850769042969,34.852935791015625,57.906822204589844
2008-05-15,102.56503295898438,35.32427215576172,58.228816986083984
2008-05-16,102.6585693359375,35.80196762084961,58.13026428222656
2008-05-19,102.93917846679688,35.92298889160156,58.26172637939453
2008-05-20,102.10443115234375,35.47713088989258,58.43915939331055
2008-05-21,100.3774185180664,35.08860778808594,58.301151275634766
2008-05-22,100.39176940917969,35.36248016357422,57.91994094848633
2008-05-23,99.046142578125,35.00579833984375,58.176292419433594
2008-05-27,99.78015899658203,34.69370651245117,57.8936882019043
2008-05-28,100.24068450927734,34.68733596801758,57.459957122802734
2008-05-29,100.74439239501953,34.87841033935547,57.19044876098633
2008-05-30,100.99628448486328,34.94847869873047,57.381046295166016
2008-06-02,99.95282745361328,34.840206146240234,57.72201156616211
2008-06-03,99.36995697021484,34.60452651977539,58.02545928955078
2008-06-04,99.31961822509766,34.330657958984375,57.81437301635742
2008-06-05,101.3056640625,34.8465690612793,57.51102066040039
2008-06-06,98.07465362548828,34.11408615112305,58.01224136352539
2008-06-09,98.31212615966797,33.82110595703125,57.59675216674805
2008-06-10,97.82282257080078,33.40073013305664,57.253753662109375
2008-06-11,96.38359832763672,32.99946594238281,57.313133239746094
2008-06-12,96.75061798095703,32.87845230102539,56.811866760253906
2008-06-13,97.9738998413086,33.12046813964844,56.680023193359375
2008-06-16,98.03150939941406,33.45805740356445,56.68653869628906
2008-06-17,97.55656433105469,33.64913558959961,56.87785720825195
2008-06-18,96.60671997070312,33.35615539550781,57.187828063964844
2008-06-19,96.72900390625,33.20328140258789,56.85804748535156
2008-06-20,95.158935546875,32.47080612182617,57.12188720703125
2008-06-23,95.06494903564453,32.438968658447266,57.09546661376953
2008-06-24,94.87690734863281,32.2606315612793,57.39887237548828
2008-06-25,95.32528686523438,32.64278793334961,57.39224624633789
2008-06-26,92.73619842529297,31.993122100830078,57.71543502807617
2008-06-27,92.22999572753906,32.05681610107422,57.99900817871094
2008-06-30,92.5553970336914,31.999473571777344,58.03860092163086
2008-07-01,92.84469604492188,31.630050659179688,57.88111877441406
2008-07-02,91.253662109375,31.407140731811523,58.02007293701172
2008-07-03,91.34765625,31.368919372558594,58.039894104003906
2008-07-07,90.41474914550781,31.005876541137695,58.31125259399414
2008-07-08,92.02023315429688,31.458086013793945,58.45680618286133
2008-07-09,90.24840545654297,30.91033172607422,58.734710693359375
2008-07-10,90.61724853515625,30.929428100585938,58.754573822021484
2008-07-11,89.56137084960938,30.731983184814453,58.205379486083984
2008-07-14,88.75138854980469,30.78929901123047,58.51642608642578
2008-07-15,87.50023651123047,30.470840454101562,58.728118896484375
2008-07-16,89.64813995361328,30.540912628173828,58.192108154296875
2008-07-17,90.54488372802734,31.075929641723633,57.91419219970703
2008-07-18,91.10897064208984,31.09503746032715,57.715675354003906
2008-07-21,91.15962982177734,31.34344482421875,57.84804153442383
2008-07-22,92.19378662109375,31.38165283203125,57.649559020996094
2008-07-23,92.69284057617188,31.470821380615234,57.55686950683594
2008-07-24,90.76911926269531,30.853002548217773,58.05317687988281
2008-07-25,90.7474365234375,30.814788818359375,57.715675354003906
2008-07-28,89.41670227050781,30.515430450439453,58.04655838012695
2008-07-29,91.32598114013672,30.681028366088867,57.88111877441406
2008-07-30,92.95318603515625,30.974029541015625,57.993621826171875
2008-07-31,91.72372436523438,30.782941818237305,58.45680618286133
2008-08-01,91.23921203613281,30.37529945373535,58.48605728149414
2008-08-04,90.3930435180664,30.005874633789062,58.446197509765625
2008-08-05,92.83023834228516,30.330711364746094,58.147377014160156
2008-08-06,93.242431640625,30.540912628173828,58.16733169555664
2008-08-07,91.85393524169922,30.018627166748047,58.7117919921875
2008-08-08,93.5606689453125,29.99951171875,58.68525695800781
2008-08-11,94.52973175048828,29.948558807373047,58.39971923828125
2008-08-12,93.54621887207031,29.617353439331055,58.804771423339844
2008-08-13,92.98212432861328,29.464487075805664,58.6786003112793
2008-08-14,93.68359375,29.362579345703125,58.85784149169922
2008-08-15,94.13921356201172,29.12055015563965,59.07701873779297
2008-08-18,92.85191345214844,28.840299606323242,59.22309112548828
2008-08-19,91.83940124511719,28.489986419677734,59.13675308227539
2008-08-20,92.26615142822266,28.66196060180664,59.30942916870117
2008-08-21,92.42523193359375,28.999534606933594,59.183250427246094
2008-08-22,93.76315307617188,28.904003143310547,59.01056671142578
2008-08-25,91.86116790771484,28.451766967773438,59.402339935302734
2008-08-26,92.12873077392578,28.6683292388916,59.422271728515625
2008-08-27,93.02549743652344,28.980419158935547,59.50865936279297
2008-08-28,94.15372467041016,29.29251480102539,59.422271728515625
2008-08-29,93.14120483398438,29.267040252685547,59.349273681640625
2008-09-02,92.56266784667969,28.649215698242188,59.672359466552734
2008-09-03,92.48309326171875,28.477243423461914,59.818931579589844
2008-09-04,89.6987533569336,27.375356674194336,60.11872100830078
2008-09-05,89.98079681396484,27.21611785888672,59.98542404174805
2008-09-08,91.83940124511719,27.7384033203125,59.992156982421875
2008-09-09,89.11297607421875,26.636520385742188,60.265316009521484
2008-09-10,89.47457885742188,26.974077224731445,60.1120719909668
2008-09-11,90.76911926269531,26.521865844726562,60.005455017089844
2008-09-12,91.18856048583984,27.318025588989258,59.7056999206543
2008-09-15,86.8493423461914,26.00594711303711,60.851600646972656
2008-09-16,88.30299377441406,25.795764923095703,60.678340911865234
2008-09-17,84.33263397216797,24.910423278808594,61.2246208190918
2008-09-18,86.83488464355469,26.00594711303711,60.505104064941406
2008-09-19,90.28343200683594,27.76388168334961,59.42583084106445
2008-09-22,88.23944854736328,27.343503952026367,59.29926300048828
2008-09-23,86.23187255859375,26.77663230895996,59.29926300048828
2008-09-24,86.50830841064453,26.910390853881836,59.45249557495117
