Date,SCHB,XLG,SCHV,QQQ,RSP,INTL,IEF,SPY
2014-07-01,6.635323524475098,11.512747764587402,10.690629005432129,86.88703918457031,63.502845764160156,35.6481819152832,80.35468292236328,161.9591064453125
2014-07-02,6.631182670593262,11.52121639251709,10.690629005432129,87.03343200683594,63.46166229248047,35.743873596191406,80.02716064453125,162.12351989746094
2014-07-03,6.661550521850586,11.583856582641602,10.735302925109863,87.58256530761719,63.824031829833984,35.85427474975586,79.86344909667969,162.92083740234375
2014-07-07,6.6339430809021,11.564385414123535,10.700553894042969,87.31717681884766,63.412261962890625,35.61873245239258,80.0583724975586,162.3536376953125
2014-07-08,6.588389873504639,11.481430053710938,10.645950317382812,86.26470184326172,63.082820892333984,35.324302673339844,80.42486572265625,161.3097381591797
2014-07-09,6.613238334655762,11.530526161193848,10.680699348449707,86.90531921386719,63.33811569213867,35.493595123291016,80.44049072265625,162.0330810546875
2014-07-10,6.587011814117432,11.500049591064453,10.650912284851074,86.63077545166016,63.04170608520508,35.140289306640625,80.61200714111328,161.39193725585938
2014-07-11,6.592532157897949,11.514442443847656,10.658358573913574,87.18902587890625,63.05814743041992,35.147647857666016,80.74457550048828,161.6138916015625
2014-07-14,6.622900009155273,11.589787483215332,10.690629005432129,87.71066284179688,63.28048324584961,35.39055252075195,80.56522369384766,162.42764282226562
2014-07-15,6.60633659362793,11.576239585876465,10.693109512329102,87.40867614746094,63.124027252197266,35.3095817565918,80.49505615234375,162.12351989746094
2014-07-16,6.627040863037109,11.631261825561523,10.742754936218262,87.7564468383789,63.33811569213867,35.523040771484375,80.61200714111328,162.72360229492188
2014-07-17,6.5483622550964355,11.511055946350098,10.636017799377441,86.59418487548828,62.57223892211914,35.05194854736328,81.0798568725586,160.8740692138672
2014-07-18,6.617379665374756,11.619409561157227,10.722893714904785,87.96693420410156,63.18167495727539,35.383182525634766,80.91612243652344,162.51808166503906
2014-07-21,6.603574275970459,11.594018936157227,10.698075294494629,87.85711669921875,63.04988098144531,35.265419006347656,80.93951416015625,162.21388244628906
2014-07-22,6.636703014373779,11.649884223937988,10.735302925109863,88.41535949707031,63.329898834228516,35.50094985961914,81.04082489013672,162.92083740234375
2014-07-23,6.6518874168396,11.680362701416016,10.737789154052734,88.98281860351562,63.354610443115234,35.56721115112305,81.03306579589844,163.28253173828125
2014-07-24,6.653266429901123,11.678668975830078,10.757644653320312,88.8821029663086,63.48637390136719,35.50094985961914,80.7055435180664,163.29075622558594
2014-07-25,6.617379665374756,11.607560157775879,10.70303726196289,88.5343246459961,63.198123931884766,35.47151184082031,81.01749420166016,162.52626037597656
2014-07-28,6.617379665374756,11.620260238647461,10.708003997802734,88.56177520751953,63.20634841918945,35.56721115112305,80.92386627197266,162.59205627441406
2014-07-29,6.592532157897949,11.59316635131836,10.658358573913574,88.40621185302734,62.9099235534668,35.41999435424805,81.03306579589844,161.8933868408203
2014-07-30,6.595294952392578,11.588091850280762,10.638503074645996,88.75399017333984,62.901649475097656,35.40526580810547,80.46381378173828,161.91795349121094
2014-07-31,6.4641594886779785,11.349369049072266,10.430004119873047,86.96023559570312,61.69929122924805,34.80168914794922,80.44049072265625,158.72039794921875
2014-08-01,6.443453788757324,11.299422264099121,10.392767906188965,86.63992309570312,61.56754684448242,34.661834716796875,80.91390991210938,158.2354278564453
2014-08-04,6.493147373199463,11.378998756408691,10.457304954528809,87.23479461669922,61.99576950073242,34.85322189331055,80.96077728271484,159.37799072265625
2014-08-05,6.433791637420654,11.268101692199707,10.348091125488281,86.56670379638672,61.427513122558594,34.40420913696289,80.99984741210938,157.83261108398438
2014-08-06,6.435171604156494,11.304502487182617,10.350576400756836,86.50264739990234,61.435760498046875,34.33795928955078,81.07017517089844,157.88197326660156
2014-08-07,6.403425216674805,11.245247840881348,10.300929069519043,86.2281265258789,61.08989715576172,34.058250427246094,81.43731689453125,157.02708435058594
2014-08-08,6.4710612297058105,11.364607810974121,10.412625312805176,86.85040283203125,61.90518569946289,34.27906799316406,81.3670425415039,158.84371948242188
2014-08-11,6.497287750244141,11.41116714477539,10.442410469055176,87.3629150390625,62.08634567260742,34.45573425292969,81.32793426513672,159.3040771484375
2014-08-12,6.484865665435791,11.378150939941406,10.439929962158203,87.32633209228516,61.954593658447266,34.47045135498047,81.21077728271484,159.08204650878906
2014-08-13,6.529036521911621,11.462801933288574,10.492053985595703,88.25064086914062,62.366363525390625,34.63239288330078,81.47637176513672,160.15892028808594
2014-08-14,6.558022975921631,11.5186767578125,10.549144744873047,88.70822143554688,62.662845611572266,34.82378005981445,81.64045715332031,160.91514587402344
2014-08-15,6.556643009185791,11.522907257080078,10.53673267364502,89.13837432861328,62.63814163208008,34.75016403198242,81.96857452392578,160.8822479248047
2014-08-18,6.618759632110596,11.615179061889648,10.606234550476074,89.82474517822266,63.18990707397461,34.96361541748047,81.71073913574219,162.23037719726562
2014-08-19,6.6518874168396,11.67697525024414,10.658358573913574,90.32807922363281,63.52752685546875,35.08139419555664,81.6248550415039,163.07705688476562
2014-08-20,6.664311408996582,11.704066276550293,10.690629005432129,90.32807922363281,63.749900817871094,35.01514434814453,81.38267517089844,163.51268005371094
